source_row	sample_id	severity	code	detail
5262	GCF_000589515	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5263	GCF_000589535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5264	GCF_000589555	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5265	GCF_000589575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5266	GCF_000589595	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5267	GCF_000589615	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5268	GCF_000589635	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5269	GCF_000589655	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5270	GCF_000589675	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5271	GCF_000589695	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5272	GCF_000589715	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5273	GCF_000589735	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5274	GCF_000589755	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5275	GCF_000589775	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5276	GCF_000589795	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5277	GCF_000589815	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5278	GCF_000589835	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5279	GCF_000591575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5280	GCF_000591595	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5281	GCF_000591615	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5282	GCF_000591635	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5283	GCF_000591655	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5284	GCF_000591675	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5285	GCF_000591695	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5286	GCF_000591715	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5287	GCF_000591735	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5288	GCF_000591755	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5289	GCF_000591775	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5290	GCF_000591795	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5291	GCF_000591815	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5292	GCF_000591835	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5293	GCF_000591855	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5294	GCF_000591875	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5295	GCF_000591895	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5296	GCF_000591915	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5297	GCF_000591935	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5298	GCF_000591955	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5299	GCF_000591975	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5300	GCF_000591995	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5301	GCF_000592015	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5302	GCF_000592035	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5303	GCF_000592055	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5304	GCF_000592075	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5305	GCF_000592095	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5306	GCF_000592115	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5307	GCF_000592135	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5308	GCF_000592155	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5309	GCF_000592175	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5310	GCF_000592195	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5311	GCF_000592215	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5312	GCF_000592235	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5313	GCF_000592255	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5314	GCF_000592275	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5315	GCF_000592295	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5316	GCF_000592315	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5317	GCF_000592335	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5318	GCF_000592355	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5319	GCF_000592375	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5320	GCF_000592395	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5321	GCF_000592415	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5322	GCF_000592435	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5323	GCF_000592455	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5324	GCF_000592475	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5325	GCF_000592495	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5326	GCF_000592515	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5327	GCF_000592535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5328	GCF_000592555	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5329	GCF_000592575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5330	GCF_000592595	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5331	GCF_000592615	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5332	GCF_000592635	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5333	GCF_000592655	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5334	GCF_000592675	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5335	GCF_000592695	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5336	GCF_000592715	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5337	GCF_000592735	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5338	GCF_000592755	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5339	GCF_000600375	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5340	GCF_000600395	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5341	GCF_000600415	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5342	GCF_000600435	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5343	GCF_000600455	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5344	GCF_000600475	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5345	GCF_000600495	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5346	GCF_000600515	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5347	GCF_000600535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5348	GCF_000600555	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5349	GCF_000600575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5350	GCF_000600595	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5351	GCF_000600615	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5352	GCF_000600635	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5353	GCF_000600655	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5354	GCF_000600675	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5355	GCF_000600695	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5356	GCF_000600715	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5366	GCF_000600915	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5367	GCF_000600935	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5371	GCF_000611265	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5372	GCF_000611325	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5373	GCF_000611345	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5376	GCF_000611405	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5377	GCF_000611425	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5378	GCF_000611445	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5380	GCF_000611525	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5381	GCF_000627335	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5382	GCF_000627355	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5383	GCF_000627375	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5384	GCF_000627415	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5385	GCF_000627495	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5386	GCF_000627515	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5387	GCF_000627535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5388	GCF_000627555	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5389	GCF_000627575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5390	GCF_000627595	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5391	GCF_000627615	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5394	GCF_000627675	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5395	GCF_000627695	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5396	GCF_000627715	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5397	GCF_000627735	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5399	GCF_000671495	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5400	GCF_000671515	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5401	GCF_000671535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5402	GCF_000671555	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5403	GCF_000671575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5404	GCF_000671655	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5407	GCF_000681655	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5408	GCF_000681675	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5409	GCF_000681915	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5410	GCF_000681935	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5411	GCF_000681955	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5412	GCF_000681975	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
